index,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn
EXR,,21.348,,0.46639,31.391,0.7029567,,5.58,,133892000,-,,,22.357,2192089,0.0164,,1609372800,0.95924,714284992,5.384,1.25,0.18703341,9.132262,0.021259999,1672444800,,1632960000,3.38,2021-12-15,131766941,0.350228,32740931584,2,,-,,,2021-12-14,,0.642,,1642118400,6.25,,36.589607,1,,0.0228,2185550,,,
XOM,,1.655,,-0.024349999,11.924,0.70455503,,6.05,,4233540096,-,,,37.932,43236139,0.010199999,,1609372800,0.53535,-5900000256,-1.386,0.88,0.18703341,2.1070602,0.00125,1672444800,,1632960000,1.93,2021-12-15,4225311384,1.345159,400953212928,2,,2001-07-19,2:1,,2021-11-10,,,,1642118400,2.19,,13.210744,1,,0.010199999,36822072,,,
FFIV,,4.65,,0.12646,21.247,0.05669284,,12.71,,60732300,-,,,39.62,1959313,0.0323,,1632960000,0.99876,337121984,5.439,,0.18703341,5.289248,0.00382,1696032000,,1640908800,4.92,2021-12-15,57183691,1.063355,12397688832,2,,2007-08-21,2:1,,-,,0.067,,1642118400,2.24,,16.487804,1,,0.0365,2246481,,,
FDS,,9.886,,0.24941,29.569,0.336071,,13.67,,37797200,-,,,29.093,691070,0.0183,,1630368000,0.91156,406031008,10.53,0.82,0.18703341,14.721411,0.013739999,1693440000,,1638230400,1.23,2021-12-15,37759362,0.75114,16094279680,2,,2005-02-07,3:2,,2021-11-29,,0.064,,1642118400,3.42,,31.330652,1,,0.023599999,539601,,,
FAST,,5.493,,0.15389,23.786,0.20234048,,1.95,,575465024,-,,,5.287,11146086,0.0194,,1640908800,0.79299,925000000,1.6,0.31,0.18703341,10.809533,0.0035100002,1703980800,,1640908800,4.15,2021-12-15,573214615,1.225544,33017937920,2,,2019-05-23,2:1,,2022-02-01,,0.179,,1642118400,4.93,,29.307692,1,,0.0221,13454812,,,
FRT,,15.856,,0.26367,26.086,0.43923533,,2.29,,77789504,-,,,29.588,2668754,0.0343,,1609372800,0.98373,232096992,3.016,1.07,0.18703341,4.280452,0.0101499995,1672444800,,1632960000,6.07,2021-12-15,76928361,1.144956,14509753344,2,,1985-11-06,3:2,,2021-12-31,,,,1642118400,8.1,,55.30568,1,,0.038900003,3612705,,,
FDX,,1.79,,0.05489,13.674,0.044386387,,22.89,,264968992,-,,,94.124,4549695,0.0172,,1622419200,0.72683996,4905999872,18.181,0.75,0.18703341,2.6785412,0.07474,1685491200,,1638230400,1.86,2021-12-15,489928313,1.30816,160286720000,2,,1999-05-07,2:1,,2021-12-10,,-0.148,,1642118400,0.69,,11.014199,1,,0.0186,2627978,,,
FITB,,5.096,,0.32849,,,,3.35,,682505984,-,,,29.586,9613589,0.014099999,,1609372800,0.83787,2592999936,3.618,,,1.5622253,0.00426,1672444800,,1632960000,2.07,2021-11-15,680721404,1.454545,42054578176,2,,2000-07-17,3:2,,,,0.212,,1639526400,-4.18,,13.797016,1,,0.016,10962615,,,
FRC,,8.093,,0.29357,,,,8.24,,179286000,-,,,66.436,1753767,0.0098,,1609372800,0.96911,1290507008,7.263,,,2.654886,3.0000001e-05,1672444800,,1632960000,2.08,2021-11-15,177925234,1.112727,37852700672,2,,-,,,,,0.261,,1639526400,1.68,,21.40534,1,,0.0098,1842122,,,
FE,,4.205,,0.10142,11.176,,,2.5,,570188032,-,,,13.738,14614470,0.0256,,1609372800,0.87639,1021000000,2.012,,,3.0724995,0.0019699999,1672444800,,1632960000,4.13,2021-11-15,515668819,0.333506,45520756736,2,,2003-04-04,1:3,,,,0.02,,1639526400,-2.36,,16.883999,1,,0.028900001,16600015,,,
FIS,,6.531,,0.01701,18.348,,,7.39,,608937024,-,,,77.348,5396285,0.0089,,1609372800,0.91567004,230000000,0.36,,,1.550137,0.00239,1672444800,,1632960000,1.19,2021-11-15,607293031,0.745974,88307392512,2,,-,,,,,6.9,,1639526400,1.16,,16.224628,1,,0.0089,6534271,,,
FISV,,5.886,,0.08234,16.612,,,6.47,,660232000,-,,,47.873,12992645,0.0197,,1609372800,0.91473,1300999936,1.93,,,2.2530444,0.00456,1672444800,,1632960000,2.59,2021-11-15,607809513,0.825974,93009281024,2,,2018-03-20,2:1,,,,0.621,,1639526400,1.04,,16.67079,1,,0.0227,12060819,,,
FLT,,8.99,,0.31121,16.704,,,15.29,,81198600,-,,,39.102,804656,0.0099,,1609372800,0.95168996,824344000,9.686,,,6.175899,0.02685,1672444800,,1632960000,1.39,2021-11-30,79052518,1.430309,23812507648,2,,-,,,,,0.239,,1640908800,1.05,,15.793983,1,,0.0115,1662402,,,
FMC,,3.624,,0.12394,14.01,,,7.69,,126751000,-,,,23.916,1935502,0.0153,,1609372800,0.91384006,615500032,4.569,,,4.6958103,0.0059399996,1672444800,,1632960000,2.63,2021-11-15,126105062,0.864415,17338333184,2,,2019-03-04,1153:1000,,,,0.417,,1639526400,2.22,,14.604032,1,,0.0172,2046854,,,
F,,1.573,,0.021300001,23.597,,,1.99,,3925390080,-,,,9.157,66575424,0.0167,,1609372800,0.53787,2867000064,0.713,,,2.226166,0.0027700001,1672444800,,1632960000,0.71,2021-11-15,3913878966,1.08935,211715637248,2,,2000-08-03,1748175:1000000,,,,-0.232,,1639526400,0.16,,10.243719,1,,0.0186,83943208,,,
FTNT,,16.196,,0.17735,74.896,,,4.61,,163500000,-,,,6.843,2120401,0.012999999,,1609372800,0.70484,554499968,3.322,,,45.10595,0.18180999,1672444800,,1632960000,1.71,2021-11-15,139344331,1.153246,50637422592,2,,2011-06-02,2:1,,,,0.322,,1639526400,4.9,,66.954445,1,,0.015800001,1849235,,,
FTV,,5.505,,0.31855,22.307,,,3.08,,358577984,-,,,25.984,5531908,0.0154,,1609372800,0.9571,1644700032,4.584,,,2.754195,0.02596,1672444800,,1633046400,3.1,2021-11-15,348985700,1.202597,28644530176,2,,2020-10-09,1195:1000,,,,-0.332,,1639526400,0.69,,23.235392,1,,0.0177,4658648,,,
FBHS,,2.025,,0.10345,11.642,,,6.31,,135734000,-,,,22.504,1388338,0.010199999,,1609372800,0.90346,760700032,5.418,,,4.1905885,0.00456,1672444800,,1632960000,1.81,2021-12-15,135166976,1.634059,14890727424,2,,-,,,,,0.228,,1642118400,0.9,,14.945325,1,,0.0115,1476400,,,
FOXA,,1.888,,0.13182999,8.372,,,3.56,,320347008,-,,,20.034,17500068,0.0307,,1625011200,0.99944,1744999936,2.958,,,2.0243087,0.01974,1688083200,,1632960000,5.16,2021-11-15,464104479,1.128761,24989186048,2,,-,,,,,-0.366,,1639526400,2.07,,11.391854,1,,0.0624,14501503,,,
FOX,,1.766,,0.13182999,7.83,,,2.35,,249240000,-,,,20.034,2574881,0.0045,,1625011200,0.55396,1744999936,2.958,,,1.8615851,0.41235,1688083200,,1632960000,2.11,2021-11-15,464104479,1.128761,23371560960,2,,-,,,,,-0.366,,1639526400,2.72,,15.870213,1,,0.0177,2623297,,,
BEN,,2.209,,0.21733999,7.808,,,3.8,,501795008,-,,,22.366,12574096,0.025,,1632960000,0.45804,1753500032,3.57,,,1.4267192,0.43066,1696032000,,1632960000,5.04,2021-11-30,285601699,1.216421,18607902720,2,,2013-07-26,3:1,,,,7.437,,1640908800,1.01,,8.397368,1,,0.043899998,14671357,,,
FCX,,3.593,,0.18455,7.987,,,3.55,,1468470016,-,,,9.096,31443325,0.0214,,1609372800,0.78145,3902000128,2.641,,,4.3656554,0.00587,1672444800,,1632960000,2.05,2021-11-30,1463054849,2.069944,76095692800,2,,2011-02-02,2:1,,,,3.252,,1640908800,0.48,,11.185915,1,,0.024,29465430,,,
GPS,,0.741,,0.030539999,9.227,,,1.98,,373403008,-,,,7.452,21915264,0.0587,,1611964800,0.58991003,506000000,1.323,,,2.396672,0.47569,1675036800,,1635552000,1.7,2021-11-15,229183709,1.736623,12280970240,2,,1999-06-22,3:2,,,,,,1639526400,2.82,,9.020203,1,,0.109799996,29125021,,,
GRMN,,4.81,,0.22855,16.683,,,6.14,,192322000,-,,,30.442,1951417,0.0101,,1608940800,0.54372,1129612032,5.858,,,4.1894426,0.20652,1672012800,,1632528000,1.98,2021-10-29,126449824,0.976623,23775713280,2,,2006-08-16,2:1,,,,-0.174,,1639526400,1.58,,20.771173,1,,0.0128999995,2052313,,,
IT,,6.429,,0.15501,26.524,,,7.13,,82239000,-,,,4.033,1116876,0.0136,,1609372800,0.93924004,703808000,8.025,,,74.51029,0.02997,1672444800,,1632960000,2.53,2021-11-15,79582690,1.545974,29191827456,2,,1996-04-01,2:1,,,,7.775,,1639526400,1.74,,42.145863,1,,0.0159,1215758,,,
GE,,1.98,,-0.00052,21.542,,,3.97,,1098140032,-,,,34.122,9566172,0.0087,,1609372800,0.72137,1462000000,-0.419,,,2.8685303,0.00242,1672444800,,1632960000,1.32,2021-11-15,1094996456,1.042597,155708882944,2,,2021-08-02,1:8,,,,,,1639526400,6.96,,24.654911,1,,0.0088,10394766,,,
GNRC,,6.295,,0.15522,26.854,,,11.68,,63090000,-,,,28.25,1969552,0.0312,,1609372800,0.89663005,527947008,8.233,,,9.958938,0.015269999,1672444800,,1632960000,2.23,2021-11-15,62125327,1.017142,21600372736,2,,2010-02-10,1:3,,,,0.144,,1639526400,4.33,,24.087328,1,,0.0353,1789404,,,
GD,,1.844,,0.08555,13.444,,,12.45,,279223008,-,,,56.401,1944611,0.0069999998,,1609372800,0.86539,3307000064,11.652,,,3.7868123,0.06043,1672444800,,1633219200,2.06,2021-11-15,242833405,1.078441,71279632384,2,,2006-03-27,2:1,,,,0.031,,1639526400,2.15,,17.15502,1,,0.0085,1914951,,,
GIS,,2.872,,0.12020001,13.446,,,3.92,,603206976,-,,,15.79,14884833,0.0247,,1622332800,0.76868,2236699904,3.628,,,4.348955,0.0015700001,1685404800,,1638057600,4.66,2021-11-15,601517721,0.506493,53444804608,2,,2010-06-09,2:1,,,,-0.132,,1639526400,3.89,,17.517857,1,,0.0247,15021774,,,
GPC,,1.217,,0.04443,15.146,,,7.26,,142422000,-,,,22.338,1500545,0.0105,,1609372800,0.78503,814422976,5.609,,,6.0390368,0.02429,1672444800,,1632960000,2.22,2021-11-15,140060395,1.078441,22296041472,2,,1997-04-15,3:2,,,,0.005,,1639526400,4.56,,18.581266,1,,0.012200001,1323496,,,
GILD,,4.063,,0.26905,7.48,,,6.8,,1254380032,-,,,17.108,22204830,0.0177,,1609372800,0.82421,7393999872,5.844,,,3.8233578,0.00095,1672444800,,1632960000,2.89,2021-11-15,1253242033,0.350129,111657033728,2,,2013-01-28,2:1,,,,6.2,,1639526400,6.77,,9.619118,1,,0.0177,23118075,,,
GL,,2.296,,0.15289,11.002,,,8.24,,100979000,-,,,85.111,985190,0.0098,,1609372800,0.76751,771246016,7.385,,,1.2168815,0.020750001,1672444800,,1632960000,1.74,2021-11-15,92357619,1.10961,11584464896,2,,2014-07-02,3:2,,,,0,,1639526400,1.36,,12.569175,1,,0.0112,970615,,,
GPN,,6.227,,0.11376,15.568,,,9.59,,290151008,-,,,90.135,3722206,0.0128,,1609372800,0.87327003,939651008,3.167,,,1.670938,0.00932,1672444800,,1632960000,1.16,2021-11-15,287742748,1.104415,51434237952,2,,2015-11-03,2:1,,,,0.343,,1639526400,0.88,,15.704901,1,,0.0156,4187096,,,
GM,,1.47,,0.084960006,10.803,,,6.83,,1451859968,-,,,36.1,32913575,0.0227,,1609372800,0.82871,10942000128,7.472,,,1.4569253,0.049060002,1672444800,,1632960000,1.77,2021-11-15,1380820770,1.186493,192504299520,2,,-,,,,,-0.402,,1639526400,0.64,,7.700586,1,,0.0227,26621739,,,
GS,,-3.889,,0.38197,,,,40.24,,333577984,-,,,275.256,4106540,0.0123000005,,1609372800,0.73371005,21674999808,60.63,,,1.3190628,0.00526,1672444800,,1632960000,1.61,2021-11-30,348318620,1.496198,-226093252608,2,,-,,,,,0.597,,1640908800,0.39,,9.022862,1,,0.0124,4116718,,,
GWW,,2.313,,0.07363,17.949,,,23.36,,51520000,-,,,35.462,991938,0.019299999,,1609372800,0.71305,928000000,17.495,,,14.132169,0.09787,1672444800,,1632960000,4.47,2021-11-15,46016676,1.244155,29148639232,2,,1998-06-15,2:1,,,,0.237,,1639526400,1.67,,21.453552,1,,0.024600001,903191,,,
HAL,,2.136,,0.02792,12.927,,,1.7,,895116032,-,,,6.355,14042143,0.015700001,,1609372800,0.78469,398000000,0.447,,,4.945712,0.0029300002,1672444800,,1632960000,1.46,2021-11-15,891410355,2.768831,30443802624,2,,2006-07-17,2:1,,,,,,1639526400,0.4,,18.488235,1,,0.0178,14311006,,,
HIG,,1.17,,0.0994,7.23,,,7.02,,340352992,-,,,51.284,2418662,0.0070999996,,1609372800,0.94017,2152000000,6.009,,,1.4237677,0.0030500002,1672444800,,1632960000,1.37,2021-11-15,339151906,1.070649,25585227776,2,,1998-07-16,2:1,,,,0.05,,1639526400,1.07,,10.401211,1,,0.0081,3444082,,,
HAS,,2.881,,0.07369,14.602,,,5.36,,137947008,-,,,21.888,6156848,0.0446,,1609027200,0.84336996,451719008,3.278,,,4.322478,0.08033,1672099200,,1632614400,8.7,2021-11-15,130373621,1.023376,17659242496,2,,1999-03-16,3:2,,,,0.146,,1639526400,1.21,,17.651194,1,,0.0545,5660976,,,
HCA,,2.007,,0.11328,9.334,,,18.7,,311023008,-,,,-2.217,3126824,0.0101,,1609372800,0.69434,6568000000,19.533,,,,0.22935,1672444800,,1632960000,2.22,2021-11-15,238476732,1.651428,116390903808,2,,-,,,,,2.397,,1639526400,0.93,,12.928031,1,,0.013099999,2795636,,,
PEAK,,14.072,,0.33782002,26.634,,,0.37,,539072000,-,,,12.374,6535551,0.0121,,1609372800,0.96065,68450000,1.145,,,2.8224504,0.00209,1672444800,,1632960000,2.36,2021-11-15,537719152,0.70961,25958969344,2,,2016-11-01,1098:1000,,,,,,1639526400,13.05,,94.39189,1,,0.019199999,7323306,,,
HSIC,,1.083,,0.051209997,13.04,,,4.64,,138674000,-,,,24.854,3959550,0.0286,,1608940800,0.98162,625920000,4.393,,,3.0618813,0.013099999,1672012800,,1632528000,4.86,2021-11-15,136651152,0.790649,13257288704,2,,2019-02-08,1275:1000,,,,0.145,,1639526400,1.04,,16.400862,1,,0.0323,4135669,,,
HSY,,5.003,,0.16232,18.982,,,7.52,,145390000,-,,,12.274,1980135,0.0095999995,,1609372800,0.78035,1433342976,6.888,,,16.148363,0.0017200001,1672444800,,1633219200,2.05,2021-11-15,144795900,0.408311,44175536128,2,,2004-06-16,2:1,,,,-0.005,,1639526400,3.01,,26.357048,1,,0.0153,2265420,,,
HES,,5.518,,0.030769998,10.709,,,4.68,,309727008,-,,,18.222,5343852,0.0173,,1609372800,0.86049,197000000,0.633,,,5.069147,0.1017,1672444800,,1632960000,2.7,2021-11-30,283138931,2.004561,35328655360,2,,2006-06-01,3:1,,,,,,1640908800,-1.73,,19.73718,1,,0.0248,5573027,,,
HPE,,1.165,,0.123339996,6.67,,,2.18,,1293440000,-,,,15.422,39449948,0.0305,,1635638400,0.85348,3427000064,2.58,,,1.096291,0.00356,1698710400,,1635638400,3.95,2021-12-15,1289507850,1.236695,32374185984,2,,2017-09-01,1289:1000,,,,15.261,,1642118400,0.47,,7.755504,1,,0.0397,37373694,,,
HLT,,25.274,,0.01899,52.758,,,4.3,,278721984,-,,,-4.047,5905617,0.0212,,1609372800,0.99380994,39000000,0.14,,,,0.01875,1672444800,,1632960000,2.85,2021-11-15,274083753,1.234805,51913433088,2,,2017-01-04,1000:2052,,,,,,1639526400,0.25,,33.686047,1,,0.0216,7098351,,,
HOLX,,3.496,,0.33228,6.808,,,3.87,,251420992,-,,,16.631,3449829,0.0137,,1632528000,0.97788,1871500032,7.21,,,4.347904,0.00745,1695600000,,1632528000,2.3,2021-11-15,248109321,1.113246,19689447424,2,,2008-04-03,2:1,,,,-0.336,,1639526400,4.98,,18.684755,1,,0.023,4137898,,,
HD,,3.191,,0.10791001,18.343,,,16.19,,1044240000,-,,,0.989,11881413,0.0114,,1612051200,0.71977997,15937999872,14.955,,,376.09705,0.00061,1675123200,,1635638400,2.77,2021-11-15,1043090514,0.990129,471301718016,2,,1999-12-31,3:2,,,,0.203,,1639526400,1.95,,22.974674,1,,0.0114,9339915,,,
HON,,4.455,,0.15802,17.673,,,8.98,,688422976,-,,,25.917,4983459,0.0072000003,,1609372800,0.75452006,5472999936,7.77,,,7.9689007,0.00087,1672444800,,1632960000,1.46,2021-11-15,653444204,1.172467,154284408832,2,,2018-10-29,1032:1000,,,,0.658,,1639526400,2.27,,22.998888,1,,0.0072000003,6391653,,,
HRL,,2.579,,0.07982,21.472,,,2.12,,542569984,-,,,12.855,14302117,0.026400002,,1635638400,0.42049,908838976,1.66,,,3.6942825,0.47507998,1698710400,,1635638400,5.8,2021-11-15,283926854,0.01974,29361152000,2,,2016-02-10,2:1,,,,0.202,,1639526400,3.43,,22.400946,1,,0.0502,15194886,,,
HST,,8.211,,-0.18028,86.915,,,0.26,,714035008,-,,,8.573,43042305,0.060300004,,1609372800,1.05876,-395000000,-0.56,,,2.0144641,0.012,1672444800,,1632960000,5,2021-11-15,706259473,1.342857,17991372800,2,,2009-11-04,10215:10000,,,,,,1639526400,-1.26,,66.42308,1,,0.083000004,58611933,,,
HWM,,3.678,,0.05827,14.946,,,1.4,,427217984,-,,,8.234,9702264,0.0227,,1609372800,0.91922,285000000,0.661,,,3.9725525,0.0064600003,1672444800,,1632960000,3.28,2021-11-15,382992377,1.613279,18114885632,2,,2016-11-01,1334:1000,,,,-0.25,,1639526400,0.92,,23.364285,1,,0.0228,9909639,,,
HPQ,,0.739,,0.10243,7.117,,,4.38,,1082720000,-,,,-1.511,40953157,0.0378,,1635638400,0.80967003,6503000064,5.33,,,,0.0017,1698710400,,1635638400,3.13,2021-11-15,1080438014,1.010389,46940725248,2,,2015-11-02,2202:1000,,,,3.639,,1639526400,0.54,,8.674657,1,,0.044,48300091,,,
HUM,,0.651,,0.03252,12.743,,,24,,128534000,-,,,126.503,1416318,0.011,,1609372800,0.94865996,2672999936,20.509,,,3.138898,0.00236,1672444800,,1632960000,2,2021-11-15,128212955,0.923116,53495955456,2,,1991-08-01,3:2,,,,0.143,,1639526400,1.72,,16.545,1,,0.011,1402139,,,
HBAN,,4.33,,0.22495002,,,,1.39,,1446460032,-,,,11.899,26805927,0.0185,,1609372800,0.80788004,1057000000,0.892,,,1.3122951,0.00866,1672444800,,1632960000,2.6,2021-11-15,1433544350,1.29974,23290963968,2,,2000-07-12,11:10,,,,0.244,,1639526400,-7.13,,11.233813,1,,0.0202,22579353,,,
HII,,1.099,,0.07007,9.544,,,14.59,,40061000,-,,,54.589,823708,0.020599999,,1609372800,0.8837,673000000,16.668,,,3.3909762,0.021979999,1672444800,,1632960000,2.68,2021-11-15,39098332,1.014545,10555158528,2,,2003-12-05,1:2,,,,-0.338,,1639526400,19.23,,12.687457,1,,0.023699999,909443,,,
IEX,,6.907,,0.162,25.428,,,7.01,,76031504,-,,,35.805,846297,0.0111,,1609372800,1.0250701,431712992,5.628,,,5.8179026,0.00206,1672444800,,1632960000,3.08,2021-11-15,75845218,1.057662,18405115904,2,,2007-05-22,3:2,,,,0.115,,1639526400,3.1,,29.716118,1,,0.0125,792236,,,
IDXX,,16.635,,0.24141,51.162,,,9.41,,84793600,-,,,8.892,886021,0.0104,,1609372800,0.86583,756864000,8.718,,,59.788574,0.00936,1672444800,,1632960000,2.34,2021-11-15,83932953,0.940259,52154437632,2,,2015-06-16,2:1,,,,0.198,,1639526400,3.16,,56.497345,1,,0.0117999995,699608,,,
INFO,,11.45,,0.13526,30.221,,,3.54,,398840992,-,,,22.335,17130928,0.043,,1606694400,0.91185,620700032,1.55,,,5.3073654,0.06917,1669766400,,1630368000,8.46,2021-11-30,396560005,1.003547,52545232896,2,,2016-07-13,3:1,,,,-0.01,,1640908800,3.73,,33.485878,1,,0.0461,17372920,,,
ITW,,5.822,,0.19135,20.957,,,9.09,,313880992,-,,,11.125,5464591,0.0174,,1609372800,0.80367,2727000064,8.599,,,21.145168,0.00245,1672444800,,1632960000,5.43,2021-11-15,286507187,1.116066,82967986176,2,,2006-05-26,2:1,,,,0.098,,1639526400,2.1,,25.878988,1,,0.0174,4662061,,,
ILMN,,13.895,,0.21192,64.784,,,4.03,,156300000,-,,,67.471,1707697,0.0109,,1609632000,0.8787,907000000,6.109,,,5.2683372,0.00329,1672704000,,1633219200,1.62,2021-11-15,155652918,0.894545,59471867904,2,,2008-09-23,2:1,,,,0.771,,1639526400,12.09,,88.20347,1,,0.0125,1726403,,,
INCY,,4.681,,0.18351999,19.118,,,4.38,,220891008,-,,,14.255,4561847,0.0207,,1609372800,0.93845004,534580000,2.412,,,5.206945,0.01513,1672444800,,1632960000,1.92,2021-11-15,185625431,0.71948,13636656128,2,,2000-09-01,2:1,,,,,,1639526400,1.37,,16.946346,1,,0.0294,5480942,,,
IR,,4.465,,0.0715,22.582,,,2.31,,407584992,-,,,21.235,4609432,0.0113,,1609372800,0.98974,488900000,0.987,,,2.6729455,0.0023100001,1672444800,,1632960000,2.09,2021-11-15,406394478,1.473163,26291890176,2,,2013-12-02,1252:1000,,,,3.271,,1639526400,1.4,,24.571428,1,,0.0156,4792577,,,
INTC,,2.83,,0.2689,6.396,,,3.7,,4067000064,-,,,22.151,70513571,0.0173,,1608940800,0.64884,21102000128,5.158,,,2.2190602,0.00072999997,1672012800,,1632528000,1.99,2021-11-15,4063217690,0.516883,222074077184,2,,2000-07-31,2:1,,,,0.596,,1639526400,3.18,,13.284973,1,,0.0173,68862872,,,
ICE,,12.733,,0.43815,20.967,,,5.55,,563404032,-,,,38.361,4071790,0.0072000003,,1609372800,0.89975,3056999936,5.421,,,3.3575768,0.0133299995,1672444800,,1632960000,1.82,2021-11-15,561392983,0.821298,88835620864,2,,2016-11-04,5:1,,,,0.623,,1639526400,2.3,,23.207207,1,,0.0073,3998372,,,
IBM,,2.348,,0.06401,11.165,,,10.3,,896320000,-,,,24.786,22951540,0.0256,,1609372800,0.57884,4675999744,5.283,,,5.49181,0.00133,1672444800,,1632960000,4.18,2021-11-15,895204045,1.103896,174828388352,2,,1999-05-27,2:1,,,,-0.335,,1639526400,2.07,,13.215533,1,,0.0256,24176357,,,
IP,,1.164,,0.08198,7.939,,,4.68,,387263008,-,,,24.85,10313572,0.026600001,,1609372800,0.84373003,1798000000,4.541,,,1.9217304,0.00228,1672444800,,1632960000,2.6,2021-11-15,385872894,0.961558,25532645376,2,,2014-07-02,1014:1000,,,,3.235,,1639526400,0.6,,10.204061,1,,0.0343,6841892,,,
IPG,,2.037,,0.07997,10.352,,,2.61,,393755008,-,,,8.057,16582648,0.0421,,1609372800,1.03256,707200000,1.771,,,4.4576144,0.0046,1672444800,,1632960000,4.34,2021-11-15,391735296,1.010909,18011701248,2,,1999-07-16,2:1,,,,-0.142,,1639526400,0.82,,13.760537,1,,0.0552,14490039,,,
IFF,,5.043,,0.02498,23.47,,,5.29,,254547008,-,,,84.175,4315344,0.017,,1609372800,0.95264,242031008,1.167,,,1.5824175,0.00125,1672444800,,1632960000,3.58,2021-11-15,228972658,1.037402,49901592576,2,,1994-01-20,3:1,,,,1.282,,1639526400,6.71,,25.179585,1,,0.0188,4935041,,,
INTU,,16.899,,0.20277001,60.327,,,13.64,,283167008,-,,,35.623,1772599,0.0063,,1627689600,0.83087,2092000000,7.581,,,15.707267,0.02809,1690761600,,1635638400,0.87,2021-11-15,275301992,1.054025,174345699328,2,,2006-07-07,2:1,,,,0.152,,1639526400,3.04,,41.02199,1,,0.0064,1805918,,,
ISRG,,22.338,,0.30777,58.704,,,5.57,,357236992,-,,,31.945,2720374,0.0076,,1609372800,0.86388,1689200000,4.638,,,9.210364,0.00963,1672444800,,1632960000,1.6,2021-11-15,353864545,1.087792,122603511808,2,,2017-10-06,3:1,,,,0.212,,1639526400,4.15,,52.823177,1,,0.0076,2757792,,,
IVZ,,2.47,,0.20915002,8.716,,,2.79,,461207008,-,,,24.001,5194599,0.0113,,1609372800,0.85792,1177299968,2.53,,,0.9174618,0.01361,1672444800,,1632960000,1.41,2021-11-15,332566795,1.22909,16699130880,2,,2000-11-08,25:10,,,,0.552,,1639526400,0.42,,7.892473,1,,0.0138,4623862,,,
IPGP,,5.462,,0.1833,17.749,,,5.85,,53308900,-,,,51.39,1797326,0.0337,,1609372800,0.67541003,262668000,4.869,,,2.9149642,0.29853,1672444800,,1632960000,6.5,2021-11-15,36114084,1.343376,7827801088,2,,-,,,,,1.118,,1639526400,1.09,,25.606838,1,,0.0502,1749094,,,
IQV,,4.594,,0.05666,26.554,,,10.15,,191040000,-,,,30.502,2211965,0.0116,,1609372800,0.90605,767000000,3.929,,,8.367976,0.00711,1672444800,,1632960000,2.33,2021-11-15,189683121,1.400519,62190063616,2,,-,,,,,1.584,,1639526400,1.36,,25.1468,1,,0.013099999,1966218,,,
IRM,,5.955,,0.14482,17.53,,,1.65,,289550016,-,,,3.363,28443980,0.09819999,,1609372800,0.80834997,635980992,2.197,,,13.823968,0.00827,1672444800,,1632960000,16.46,2021-11-15,286946448,0.831168,26151602176,2,,2014-09-26,1082:1000,,,,0.763,,1639526400,5.25,,28.175758,1,,0.1361,29946389,,,
JKHY,,7.251,,0.17964001,27.814,,,5.15,,74041000,-,,,18.853,3292907,0.044499997,,1625011200,0.92429,322367008,4.302,,,9.034106,0.00959,1688083200,,1632960000,4.82,2021-11-15,73387990,0.600519,13010969600,2,,2001-03-05,2:1,,,,0.119,,1639526400,2.65,,33.071846,1,,0.0587,2575770,,,
J,,1.554,,0.03385,16.281,,,8.22,,129453000,-,,,46.085,1151208,0.0089,,1633046400,0.86996,409715008,3.196,,,2.8431158,0.00834,1696118400,,1633046400,1.87,2021-11-15,127850042,0.815064,21895065600,2,,2007-03-16,2:1,,,,-0.474,,1639526400,1.48,,15.93978,1,,0.01,1062961,,,
JBHT,,1.996,,0.05895,15.374,,,8.18,,105014000,-,,,27.827,1426809,0.0136,,1609372800,0.74401003,672604032,6.3,,,6.9680524,0.20569,1672444800,,1632960000,2.91,2021-11-15,83311722,1.067012,22771632128,2,,2005-05-24,2:1,,,,0.592,,1639526400,1.32,,23.704155,1,,0.0171,1364593,,,
SJM,,2.483,,0.097200006,11.748,,,9.03,,108363000,-,,,76.469,7305926,0.0674,,1619740800,0.87067,768400000,7.008,,,1.832115,0.04389,1682812800,,1635638400,8.44,2021-11-15,104193399,0.320519,19628490752,2,,2002-06-03,0:1,,,,-0.107,,1639526400,10.01,,15.514952,1,,0.0793,8689596,,,
JNJ,,4.949,,0.19552,14.357,,,10.38,,2632600064,-,,,26.694,17056158,0.0064999997,,1609632000,0.69818,17880000512,6.691,,,6.440773,0.00072999997,1672704000,,1633219200,2,2021-11-15,2629806416,0.718961,452604690432,2,,2001-06-13,2:1,,,,0.032,,1639526400,2.13,,16.563583,1,,0.0064999997,15042128,,,
